_id,_fusion_sources,label,release-date,tracks,name,id,duration,genre,artist,release-country
mbrainz_33679,"['mbrainz_33679', 'lastFM_83227']",,2008-01-01 00:00:00,"["" 'A Heinous Honor'"", "" 'Left in Obscurity'"", "" 'War and Conflict']"", ""['Intro'"", ""['Left in Obscurity'""]",Mass Liberation,mbrainz_33679,868.0,,B. The Sins Fell Angels,
mbrainz_595,"['mbrainz_595', 'discogs_6399']",Echo,1996-01-01 00:00:00,"["" 'Lotus Eaters (Funk in Your Neighbourhood mix)'"", "" 'Party Weirdo (Wackdown mix)']"", "" 'Where Is the What If the What Is in Why? (Wondervox mix)'"", ""['Day for Night (radio edit)'""]",Day For Night,mbrainz_595,1015.0,Electronic / Dance,Moloko (and others),Germany
lastFM_44562,"['lastFM_44562', 'k04__fab__discogs__lastFM_44562', 'mbrainz_18378']",,2013-01-01 00:00:00,"["" 'Imprint'"", "" 'Primal Opressor'"", "" 'The Unknown'"", "" '[untitled]']"", ""['Tensio Nocturalis'""]",Resurrection: Catharsis (release),lastFM_44562,69.0,,Ultradyne,
mbrainz_4812,"['mbrainz_4812', 'lastFM_9966', 'discogs_20646']",Suburban Noize Records,2006-11-21 00:00:00,"[' ""Flyin\' High""', ' ""Losin\' Streak""', ' ""Power Trippin\'""', ' ""That\'s How It Goes""', "" 'Batter Swing'"", "" 'Chronic Weed'"", "" 'Dust To Dust'"", "" 'Dust to Dust'"", "" 'Feels So Good'"", "" 'Flyin High'"", "" 'Hidden Stash'"", "" 'Hit That'"", "" 'Karma'"", "" 'Keep a Lookout'"", "" 'Keepa Lookout'"", "" 'Lady Killer'"", "" 'Last Daze'"", "" 'Legalize Or Legal Lies'"", "" 'Legalize or Legal Lies'"", "" 'Lets Ride'"", "" 'Money'"", "" 'My Selecta'"", "" 'One Life'"", "" 'Peace Of Mind (Price Remix)']"", "" 'Peace of Mind (Price remix)'"", "" 'Pimpin Lessons'"", "" 'Police Story'"", "" 'Power Trippin'"", "" 'Remember Me'"", "" 'Rip N Tear'"", "" 'Same Ole Story'"", "" 'Set Me Free'"", "" 'Somethin 4 Your Stereo'"", "" 'Something for Your Stereo'"", "" 'Stick Together (Remix)'"", "" 'Stick Together (remix)'"", "" 'Still Smokin'"", "" 'Summertime'"", "" 'The Bomb'"", "" 'The Lottery (Remix)'"", "" 'The Lottery (remix)'"", "" 'The Underground'"", "" 'Things I Do"", "" 'Things I Do'"", "" 'Wake N Bake']"", "" Part 2'"", ""['Gone Git High'"", ""['Still Smokin'""]",Hidden Stash III,mbrainz_4812,4048.0,Hip Hop / Rap,Kottonmouth Kings,United States of America
mbrainz_6678,"['mbrainz_6678', 'lastFM_14109', 'discogs_2691']",God's House Records,2003-01-01 00:00:00,"["" 'Ar Koto Kal'"", "" 'Arunodaya'"", "" 'Dainyatmika'"", "" 'Jaya Radha'"", "" 'Narada Muni'"", "" 'Panduranga'"", "" 'Vaishnava Vijnapti']"", ""['Gauranga Karuna'""]",Shelter,mbrainz_6678,2688.0,Electronic / Dance,Ann Nesby,United States of America
discogs_54232,"['discogs_54232', 'mbrainz_11846']",Mediaskare,2010-01-01 00:00:00,"["" 'Atonement'"", "" 'Cast the First Stone'"", "" 'Dressed in Black'"", "" 'Ghost Stories'"", "" 'Last One Standing'"", "" 'Murder One'"", "" 'Sustenance'"", "" 'The Gift (Feeding Time)']"", "" 'The Phoenix'"", "" 'Victim of Fear'"", ""['Let Us Pray'""]",Ghost Stories,discogs_54232,2866.0,Rock,Silent Civilian,United States of America
mbrainz_16225,"['mbrainz_16225', 'lastFM_37086', 'discogs_80191']",Not On Label (Disasterpeace Self-released),2010-03-26 00:00:00,"[' ""Let\'s Fix This Ship!""', "" 'From A Different Angle']"", "" 'From a Different Angle']"", "" 'Lambda'"", ""['Galactic Real Estate Acquisition Team'""]",Astral Puzzle Meltdown,mbrainz_16225,329.0,Electronic / Dance,Disasterpeace,
discogs_8552,"['discogs_8552', 'mbrainz_1859', 'lastFM_4169']",Boka Records,2005-03-07 00:00:00,"["" 'Dark Crystal'"", "" 'Roots']"", ""['Replicant'""]",Replicant,discogs_8552,885.0,Electronic / Dance,DJ Distance,United Kingdom of Great Britain and Northern Ireland
discogs_191949,"['discogs_191949', 'mbrainz_1631', 'lastFM_3785']",Sire|Warner Bros. Records,1994-01-01 00:00:00,"[' ""(I\'m Gonna) Cry Myself Blind""', ' ""Give out but Don\'t Give Up""', ' ""I\'ll Be There for You""', ' ""Struttin\'""', "" '(Iâ€™m Gonna) Cry Myself Blind'"", "" 'Big Jet Plane'"", "" 'Call On Me'"", "" 'Call on Me'"", "" 'Cry Myself Blind'"", "" 'Everybody Needs Somebody']"", "" 'Free'"", "" 'Funky Jam (Clinton)'"", "" 'Funky Jam (Lynch)'"", "" 'Funky Jam'"", "" 'Give Out But Donâ€™t Give Up'"", "" 'Give Out'"", "" 'Iâ€™ll Be There for You'"", "" 'Jesus'"", "" 'Rocks'"", "" 'Sad And Blue'"", "" 'Sad and Blue'"", "" 'Struttinâ€™'"", ""['Jailbird'""]",Give Out But Don't Give Up,discogs_191949,1260.0,Rock,Primal Scream,United States of America
mbrainz_24612,"['mbrainz_24612', 'lastFM_62270']",,2006-06-27 00:00:00,"[' ""Who\'s That""', "" 'After All'"", "" 'Caught In The Rain'"", "" 'Caught in the Rain'"", "" 'Del Cielo'"", "" 'Honey Jar'"", "" 'Horizon']"", "" 'If'"", "" 'Love Is Dying'"", "" 'Master Plan'"", "" 'Perfect'"", "" 'Woman Dangerous'"", ""['Honey Jar'"", ""['Simple Life'""]",Woman Dangerous,mbrainz_24612,1673.5,,"Roberts, Doria",United States of America
mbrainz_11793,"['mbrainz_11793', 'k04__fab__discogs__lastFM_25323', 'lastFM_25323']",,2007-01-01 00:00:00,"[' ""C\'mon Let\'s Go""', ' ""Don\'t Call It Love (New Version)""', ' ""Don\'t Call It Love (new version)""', ' ""Don\'t Call It Love""', ' ""Don\'t Stop""', ' ""I\'m the Leader of the Gang (I Am)""', ' ""Please Don\'t Touch""', ' \'1-2-3-4 Rock and Roll (12"" Version)\'', ' \'1-2-3-4 Rock and Roll (12"" version)\'', "" '1-2-3-4 Rock and Roll'"", "" '1-2-3-4 rock and roll'"", "" '20th Century Boy'"", "" 'Action'"", "" 'Baby Doll'"", "" 'Bomber'"", "" 'Breaking All The Rules'"", "" 'Breaking All the Rules'"", "" 'Burning in the Heat'"", "" 'Demolition (Live)'"", "" 'Demolition (live)'"", "" 'Emergency'"", "" 'Furniture Fire'"", "" 'Head Over Heels'"", "" 'Hit and Run'"", ' \'I\\\'m the Leader of the Gang (I Am) (12"" version)\'', "" 'It Could Be Better'"", "" 'Like It Like That'"", "" 'Never Too Late'"", "" 'Not for Sale (Demo)']"", "" 'Not for Sale (demo)']"", "" 'Nothing to Lose (Demo)'"", "" 'Nothing to Lose (demo)'"", "" 'Nothing to Lose'"", "" 'Race With the Devil'"", "" 'Surrender'"", "" 'Take It All Away (new version)'"", "" 'The Hunter'"", "" 'Tonight (Live)'"", "" 'Tonight (live)'"", "" 'Tonight'"", "" 'Tush (New version)'"", "" 'Tush (new version)'"", "" 'Tush'"", "" 'Wildlife'"", "" 'Yeah Right'"", ""['Take It All Away'""]",The Singles,mbrainz_11793,792.0,,Girlschool,United Kingdom of Great Britain and Northern Ireland
discogs_61062,"['discogs_61062', 'mbrainz_13257', 'lastFM_28610']",Magister Ludi Records,1998-06-04 00:00:00,"[' ""Shut Up Bob', ' ""Shut Up Bob We\'re Home""', "" 'Almost As Easy As Riding A Bicycle Into The Erie Canal'"", "" 'Almost as Easy as Riding a Bicycle Into the Erie Canal'"", "" 'Boy With the Golden Sombrero'"", "" 'Brent Christopher'"", "" 'Brian Joseph'"", "" 'Calling You Ten Nights In A Row'"", "" 'Calling You Ten Nights in a Row'"", "" 'Christopher William Wallace'"", "" 'Chugga Chugga Burnin Love'"", "" 'Made Good Time'"", "" 'Mark Alan']"", "" 'The Boy With The Golden Sombrero'"", "" 'Voted Most Likely To Start World War Three'"", "" 'Voted Most Likely to Start World War Three'"", "" 'chugga chugga burnin love'"", ' We\'re Home""', ""['Antrorigin'"", ""['Introrigin'""]","The Music Stops, The Man Dies",discogs_61062,881.5,Rock,Waifle,United States of America
k04__fab__lastfm__discogs_19246,"['k04__fab__lastfm__discogs_19246', 'mbrainz_1674', 'discogs_19246']",Silvertone Records,1989-07-01,"["" 'Mersey Paradise'"", "" 'She Bangs The Drums'"", "" 'Simone'"", "" 'Simone']"", "" 'Standing Here'"", ""['She Bangs The Drums'"", ""['She Bangs the Drums'""]",She Bangs The Drums,k04__fab__lastfm__discogs_19246,1612.0,Rock,"Stone Roses, The",United Kingdom of Great Britain and Northern Ireland
discogs_123627,"['discogs_123627', 'mbrainz_2158', 'k04__fab__lastfm__discogs_123627']",RSO,1980-01-01 00:00:00,"[' ""Lando\'s Palace""', ' ""Lando\'s Place""', ' ""Yoda\'s Theme""]', "" 'Han Solo And The Princess (Love Theme)'"", "" 'Han Solo and the Princess (Love Theme)'"", "" 'The Asteroid Field'"", '[""The Imperial March (Darth Vader\'s Theme)""']",Empire Jazz,discogs_123627,722.0,Jazz,"Carter, Ron",United States of America
discogs_25044,"['discogs_25044', 'lastFM_12123', 'mbrainz_5748']",Force Of Nature Productions,2008-02-01 00:00:00,"["" 'Aneurysms'"", "" 'Asunder']"", "" 'Boundward'"", "" 'Deadly'"", "" 'Extraneous'"", "" 'Freight Memory'"", "" 'Slight Rite'"", "" 'Soarover'"", "" 'The Standstill'"", "" 'Vehicularism'"", ""['Another Moving Vessel'""]",Vessels,discogs_25044,3705.0,Electronic / Dance,Freeze Etch,United States of America
mbrainz_2112,"['mbrainz_2112', 'lastFM_4604', 'discogs_9411']",Fairy Cake Universe,1993-01-01 00:00:00,"[' ""Isn\'t It Terrific ?""', ' ""Isn\'t It Terrific""', "" 'Amoeba'"", "" 'Angels Watching'"", "" 'Breathe'"", "" 'Chislehurst Caves'"", "" 'Chislehurst Coves'"", "" 'Knees Up Mother Earth'"", "" 'Rainbows Of Gaia'"", "" 'Rainbows of Gaia'"", "" 'Star'"", "" 'Trybes'"", "" 'Um"", "" 'Untitled']"", "" Baby !'"", "" Baby!'"", ""['Choose'""]",Knees Up Mother Earth,mbrainz_2112,3250.0,Electronic / Dance,The Knights Of The Occasional Table,United Kingdom of Great Britain and Northern Ireland
discogs_21136,"['discogs_21136', 'mbrainz_4919', 'k04__fab__lastfm__discogs_21136']",Fnac Music,1992-01-01 00:00:00,"[' ""Fear (Is A Man\'s Best Friend)""', ' ""Fear (Is a Man\'s Best Friend)""', "" '(I Keep A) Close Watch'"", "" 'Buffalo Ballet'"", "" 'Chinese Envoy'"", "" 'Cordoba'"", "" 'Darling I Need You'"", "" 'Do Not Go Gentle Into That Good Night'"", "" 'Dying On The Vine'"", "" 'Dying on the Vine'"", "" 'Guts'"", "" 'Hallelujah']"", "" 'Heartbreak Hotel'"", "" 'Leaving It Up To You'"", "" 'Leaving It Up to You'"", "" 'Lie Still"", "" 'On A Wedding Anniversary'"", "" 'On a Wedding Anniversary'"", "" 'Paris 1919'"", "" 'Ship Of Fools'"", "" 'Ship of Fools'"", "" 'Style It Takes'"", "" 'The Ballad Of Cable Hogue'"", "" 'The Ballad of Cable Hogue'"", "" 'Thoughtless Kind'"", "" Sleep Becalmed'"", '[""A Child\'s Christmas In Wales""', '[""A Child\'s Christmas in Wales""']",Fragments Of A Rainy Season,discogs_21136,3432.0,Rock,"Cale, John",France
mbrainz_25529,"['mbrainz_25529', 'lastFM_64372']",,2005-01-01 00:00:00,"[' ""Money For Monkey\'s""', ' ""Money for Monkey\'s""', "" 'Endgame']"", "" 'Moria'"", "" 'Radioactive Girl'"", "" 'Seventeen'"", "" 'Subs'"", ""['Mock Me!'"", ""['mock me!'""]",*popular* Endgame,mbrainz_25529,2826.0,,Like Wendy,Netherlands
discogs_19801,"['discogs_19801', 'mbrainz_4641', 'lastFM_9569']",Foxglove,2007-01-01 00:00:00,"["" 'A Burning OM'"", "" 'Evening Over The Hill'"", "" 'Evening Over the Hill'"", "" 'Glasstear']"", "" 'Hobo Land'"", "" 'Hoboland'"", "" 'Over The Moonpalace'"", "" 'Over the Moonpalace'"", "" 'a burning om'"", "" 'evening over the hill']"", ""['Defocusing'"", ""['defocusing'""]",And The Spiritual Committee,discogs_19801,900.0,Electronic / Dance,"Cosi, Valerio",United States of America
discogs_137259,"['discogs_137259', 'k04__fab__lastfm__discogs_106146', 'mbrainz_23870']",Universal Music Group|Polydor,2011-01-01,"[' ""A Gipsy\'s Kiss""', ' ""A Gypsy\'s Kiss""', ' ""Hard Lovin\' Man""', ' ""Hard Lovin\' Woman - Live (1987 / Oslo', ' ""Hard Lovin\' Woman""', ' ""Nobody\'s Home""', "" 'Bad Attitude - Live (1987 / Phoenix"", "" 'Bad Attitude'"", "" 'Bad Attitude']"", "" 'Black & White'"", "" 'Black Night - Live (1987 / Verona"", "" 'Black Night'"", "" 'Black and White'"", "" 'Call Of The Wild'"", "" 'Call of the Wild'"", "" 'Child In Time - Live (1987 / Phoenix"", "" 'Child in Time'"", "" 'Dead Or Alive - Live (1987 / Milan"", "" 'Dead Or Alive'"", "" 'Dead or Alive'"", "" 'Hard Lovin Woman'"", "" 'Highway Star - Live (1987 /  Irvine Meadows"", "" 'Highway Star'"", "" 'Hungry Daze'"", "" 'Hush - Live Version'"", "" 'Hush'"", "" 'Knocking At Your Back Door - Live (1987 / Phoenix"", "" 'Knocking at Your Back Door [livec1987 Phoenix]'"", "" 'Lazy - Live (1987 / Phoenix"", "" 'Lazy'"", "" 'Mad Dog'"", "" 'Mean Streak'"", "" 'Not Responsible'"", "" 'Perfect Strangers - Live (1987 /  Irvine Meadows"", "" 'Perfect Strangers'"", "" 'Smoke On The Water - Live (1987 / Oslo"", "" 'Smoke On The Water'"", "" 'Smoke on the Water'"", "" 'Son Of Alerik'"", "" 'Son of Alerik'"", "" 'Space Trucking - Live (1987 / Irvine Meadows"", "" 'Space Trucking'"", "" 'Strange Kind Of Woman - Live (1987 / Irvine Meadows"", "" 'Strange Kind Of Woman'"", "" 'Strange Kind of Woman'"", "" 'The Spanish Archer'"", "" 'The Unwritten Law'"", "" 'Under The Gun'"", "" 'Under the Gun'"", "" 'Wasted Sunsets'"", "" 'Woman From Tokyo - Live (1987 /  Irvine Meadows"", "" 'Woman From Tokyo'"", "" 'Woman From Tokyo']"", ' AZ and Oslo', "" AZ)'"", "" AZ)']"", "" CA)'"", ' Italy and Oslo', "" Italy)'"", ' Norway)""', "" Norway)'"", ""['Knocking At Your Back Door'"", ""['Knocking at Your Back Door'""]",The Deep Purple Collection (release),discogs_137259,3626.0,Rock,Deep Purple,"Germany, Austria, & Switzerland"
mbrainz_9400,"['mbrainz_9400', 'discogs_42180', 'lastFM_19985']",Mystic Production,1996-01-01 00:00:00,"[' ""Nei Sotteranei dell\'Opera""', ' ""Nei Sotterranei Dell\'Opera""', ' ""Nei sotteranei dell\'opera""', "" 'Al Ballo Mascherato'"", "" 'Al ballo mascherato'"", "" 'Faust In Una Sala Maledetta'"", "" 'Faust in una sala maledetta'"", "" 'Fine Degli Amori Del Mostro']"", "" 'Fine degli Amori del Mostro']"", "" 'Fine degli amori del mostro']"", "" 'Il Palco N. 5'"", "" 'Il Signore Delle Botole'"", "" 'Il Signore delle Botole'"", "" 'Il Violino Incantato'"", "" 'Il palco N. 5'"", "" 'Il signore delle botole'"", "" 'Il violino incantato'"", "" 'La Lira Di Apollo'"", "" 'La Lira di Apollo'"", "" 'La Nuova Margherita'"", "" 'La lira di Apollo'"", "" 'La nuova Margherita'"", "" 'Le Ore Rosa Di Mazenderan'"", "" 'Le ore rosa di Mazenderan'"", "" 'Ãˆ il fantasma? Part 2'"", "" 'È Il Fantasma? Part 2'"", '[""E\' il Fantasma? (Part 2)""', ""['Ãˆ il fantasma? Part 1'"", ""['È Il Fantasma? Part 1'""]",Il Fantasma Dell' Opera,mbrainz_9400,2778.0,Electronic / Dance,Ataraxia,Poland
discogs_3224,"['discogs_3224', 'mbrainz_705', 'k04__fab__lastfm__discogs_3224']",Equator Records,1993-07-01 00:00:00,"["" 'Drop A Beat (The New Version)'"", "" 'Drop a Beat (The New version)'"", "" 'Everything'"", "" 'Go (Subliminal Mix Unedited Version)'"", "" 'Go (Subliminal mix unedited version)'"", "" 'Go (Woodtick Mix)'"", "" 'Go (Woodtick mix)'"", "" 'Help Me To Believe'"", "" 'Help Me to Believe'"", "" 'I Feel It (I Feel It Mix)'"", "" 'I Feel It (I Feel It mix)'"", "" 'Slight Return'"", "" 'Stream']"", "" 'Thousand'"", "" 'Yeah'"", ""['Ah Ah'""]",The So Story Far,discogs_3224,2080.0,Electronic / Dance,Moby,United Kingdom of Great Britain and Northern Ireland
mbrainz_22356,"['mbrainz_22356', 'discogs_80092', 'k04__fab__lastfm__discogs_80092']",Massacre Records,2000-03-05 00:00:00,"[' ""I\'ll Be There""]', "" 'Broken Wings'"", "" 'Empire Of Future'"", "" 'Empire of Future'"", "" 'Live For The Day'"", "" 'Live for the Day'"", "" 'New Experiment'"", "" 'Saints And Sinners'"", "" 'Saints and Sinners'"", "" 'Six Past The Hour'"", "" 'Six Past the Hour'"", "" 'Tell Me Why'"", "" 'We Must Remain'"", ""['In the Beginning'"", ""['The Beginning'""]",The Empire Of Future,mbrainz_22356,728.0,Rock,Force Silent,Germany
k04__fab__lastfm__discogs_72010,"['k04__fab__lastfm__discogs_72010', 'discogs_72010', 'mbrainz_3625']",Philadelphia International Records,1986-01-01,"["" 'Groovy People'"", "" 'I Go Crazy'"", "" 'Lady Love'"", "" 'Let Me Be Good To You'"", "" 'Let Me Be Good to You'"", "" 'Natural Man'"", "" 'One Life To Live']"", "" 'One Life to Live']"", "" 'See You When I Get There'"", "" 'Sit Down And Talk To Me'"", "" 'Sit Down and Talk to Me'"", '[""You\'ll Never Find Another Love Like Mine""']",Classics,k04__fab__lastfm__discogs_72010,540.0,R&B / Soul,"Rawls, Lou",United States of America
lastFM_36701,"['lastFM_36701', 'discogs_79291', 'mbrainz_16109']",Legacy|Sony Music|RCA,2011-01-01 00:00:00,"[' ""Cascades: I\'m Not Your Lover""', ' ""One Man\'s Meat""', ' ""Rosa\'s Cantina""', "" 'A Castle Full Of Rascals'"", "" 'A Castle Full of Rascals'"", "" 'A Touch Away'"", "" 'A Twist In The Tale'"", "" 'A Twist in the Tale'"", "" 'Anya'"", "" 'Breakfast In Bed'"", "" 'Breakfast in Bed'"", "" 'Fire In The Basement'"", "" 'Fire in the Basement'"", "" 'Fortuneteller'"", "" 'Hey Cisco'"", "" 'King Of Dreams'"", "" 'Lick It Up'"", "" 'Loosen My Strings'"", "" 'Love Conquers All'"", "" 'Nasty Piece Of Work'"", "" 'Nasty Piece of Work'"", "" 'Purpendicular'"", "" 'Ramshackle Man'"", "" 'Solitaire'"", "" 'Somebody Stole My Guitar'"", "" 'Sometimes I Feel Like Screaming'"", "" 'Soon Forgotten'"", "" 'Talk About Love'"", "" 'The Aviator'"", "" 'The Battle Rages On'"", "" 'The Cut Runs Deep'"", "" 'The Purpendicular Waltz']"", "" 'Time To Kill'"", "" 'Time to Kill'"", "" 'Too Much Is Not Enough'"", "" 'Truth Hurts'"", "" 'Vavoom: Ted The Mechanic'"", "" 'Vavoom: Ted the Mechanic'"", "" 'Wicked Ways'"", ""['King of Dreams'"", ""['Slaves And Masters'""]",Album: Original Album Classics,lastFM_36701,0.0,Rock,Deep Purple,Europe
discogs_63753,"['discogs_63753', 'lastFM_29833', 'mbrainz_13760']",Memphis Industries,2010-01-01 00:00:00,"[""['Girlfriend Island']""]",Girlfriend Island,discogs_63753,143.0,Rock,"Rose, Frankie and the Outs",United Kingdom of Great Britain and Northern Ireland
discogs_140388,"['discogs_140388', 'k04__fab__lastfm__discogs_140388', 'mbrainz_4225']",Nashville Clan,1999-01-01 00:00:00,"[' ""I\'m Not Through Loving You""', ' ""I\'ve Already Loved You In My""', ' ""I\'ve Already Loved You in My""', ' ""Riskin\' One""', "" 'Have I Been Away Too Long'"", "" 'I See The Want In Your Eyes'"", "" 'I See the Want to in Your Eyes'"", "" 'I Wonder If You Told Her About Me'"", "" 'I Wonder if You Told Her About Me'"", "" 'Let Me Be The Judge'"", "" 'Linda On My Mind'"", "" 'Linda on My Mind'"", "" 'Play Guitar Play'"", "" 'Reputation'"", "" 'Sitting In A Dim Cafe'"", "" 'Sitting in a Dim Cafe'"", "" 'The Road That I Walk'"", "" 'This Road That I Walk'"", "" 'To See My Angel Cry'"", "" 'Treat Me Mean"", "" Treat Me Cruel']"", '[""It\'s Only Make Believe""']",It's Only Make Believe (release),discogs_140388,1080.0,Folk,"Twitty, Conway",Germany
discogs_12109,"['discogs_12109', 'mbrainz_2778', 'k04__fab__lastfm__discogs_12109']",Studio 2 Stereo|EMI,1975-01-01 00:00:00,"["" 'Asteroid'"", "" 'Counter Glow'"", "" 'Counterglow'"", "" 'Dreamer'"", "" 'Earthshine']"", "" 'Life On Mars'"", "" 'Life on Mars'"", "" 'Lucy In The Sky With Diamonds'"", "" 'Lucy in the Sky With Diamonds'"", "" 'Solitaire'"", "" 'Starcluster'"", "" 'Stereoskopia'"", '[""Reach Out And I\'ll Be There""', '[""Reach Out and I\'ll Be There""']",Space Experience 2,discogs_12109,2763.0,Electronic / Dance,"Keating, Johnny",United Kingdom of Great Britain and Northern Ireland
mbrainz_9191,"['mbrainz_9191', 'lastFM_19549', 'k04__fab__discogs__lastFM_19549']",,1999-08-20 00:00:00,"["" 'Courtesan Mary Slut (666 Joy Edit)']"", "" 'Courtesan Mary Slut (666 joy edit)']"", ""['Status StÃ¼rmer (black sun mix)'"", ""['Status StÃƒÂ¼rmer (Black Sun Mix)'""]",German Black Metal,mbrainz_9191,0.0,,Tsatthoggua,France
mbrainz_22940,"['mbrainz_22940', 'discogs_168682']",Big Dada Recordings,2014-01-13 00:00:00,"[' \'36"" Chain (BSBD Remix)\']', ' \'36"" Chain\'', "" '36â€³ Chain (BSBD remix instrumental)']"", "" '36â€³ Chain (instrumental)'"", "" 'A Christmas Fucking Miracle (instrumental)'"", "" 'A Christmas Fucking Miracle'"", "" 'Banana Clipper (instrumental)'"", "" 'Banana Clipper'"", "" 'DDFH (instrumental)'"", "" 'DDFH'"", "" 'Get It (instrumental)'"", "" 'Get It'"", "" 'Job Well Done (instrumental)'"", "" 'Job Well Done'"", "" 'No Come Down (instrumental)'"", "" 'No Come Down'"", "" 'Pew Pew Pew (instrumental)'"", "" 'Pew Pew Pew'"", "" 'Sea Legs (Dave Sitek Remix)'"", "" 'Sea Legs (Dave Sitek remix instrumental)'"", "" 'Sea Legs (instrumental)'"", "" 'Sea Legs'"", "" 'Twin Hype Back (instrumental)'"", "" 'Twin Hype Back'"", ""['Run The Jewels'"", ""['Run the Jewels (instrumental)'""]",Run the Jewels (Deluxe European Instrumentals),mbrainz_22940,1319.0,Hip Hop / Rap,Run The Jewels,Australia
lastFM_77000,"['lastFM_77000', 'discogs_180273', 'mbrainz_30861']",,2010-01-01 00:00:00,"["" 'Drill Down'"", "" 'End Of Days'"", "" 'End of Days'"", "" 'Fallout'"", "" 'Fight Philosophy'"", "" 'Forgotten Heroes'"", "" 'Machines Of War'"", "" 'Machines of War'"", "" 'Politicold'"", "" 'Repent']"", "" 'The Blackening'"", "" 'They Prey'"", ""['Foretold Revelation'""]",Nightmares By Design,lastFM_77000,2871.0,Rock,Severed Fifth,United States of America
discogs_148237,"['discogs_148237', 'mbrainz_25686', 'lastFM_64707']",Ambiel Music,2014-11-24 00:00:00,"[""['Frozen Nightmare']""]",Album: Frozen Nightmare,discogs_148237,180.0,Electronic / Dance,"Alexandra, Sarah",United Kingdom of Great Britain and Northern Ireland
lastFM_6226,"['lastFM_6226', 'discogs_12768', 'mbrainz_2950']",Cult Music,1993-01-01 00:00:00,"["" 'Lullaby For A Troubled Man']"", "" 'Lullaby for a Troubled Man']"", "" 'Revolution Of Love'"", "" 'Revolution of Love'"", "" 'Somewhere'"", ""['Sound Of War'"", ""['Sound of War'""]",Lullabies For A Troubled World,lastFM_6226,997.0,Rock,"DeMone, Gitane",Netherlands
lastFM_12488,"['lastFM_12488', 'mbrainz_5926', 'discogs_25844']",A Silent Place,2007-01-01 00:00:00,"["" 'Find Electronica"", "" 'Find Electronica (Part 2)'"", "" 'Find Electronica (Part 3)']"", "" Part 1'"", "" Part 2'"", "" Part 2']"", "" Part 3']"", ""['Find Electronica"", ""['Find Electronica (Part 1)'""]",Find Electronica,lastFM_12488,2548.0,Electronic / Dance,"Orsi, Fabio",Italy
discogs_472,"['discogs_472', 'mbrainz_174', 'lastFM_277']",Expanding Records,1996-02-01 00:00:00,"["" 'Eight']"", "" 'Five'"", "" 'Four'"", "" 'Seven'"", "" 'Six'"", "" 'Three'"", "" 'Two'"", ""['One'""]",Beautiful Electronic Music,discogs_472,840.0,Electronic / Dance,Benge,United Kingdom of Great Britain and Northern Ireland
mbrainz_8399,"['mbrainz_8399', 'discogs_147648', 'lastFM_17957']",Vertigo,2009-01-01 00:00:00,"[' ""\'54', ' ""Rock\'N\'Roll Queen""', ' ""Rock\'n\'Roll Queen (Unplugged)""', ' ""Wellenreiten \'54""', "" '(Tu Nur Das) Was Dein Herz Dir Sagt'"", "" '(Tu nur das) was dein Herz dir sagt'"", "" '1. Wahl'"", "" '7 Tage"", "" '7 Tage 7 Nächte'"", "" '74"", "" '90"", "" 'Alles Roger! (Unplugged)'"", "" 'Auf Der Guten Seite'"", "" 'Auf der guten Seite'"", "" 'Der Titel Vom Nächsten Kapitel'"", "" 'Der Titel vom nÃ¤chsten Kapitel'"", "" 'Der Titel vom nÃƒÂ¤chsten Kapitel (Unplugged)'"", "" 'Ein Kleiner Schritt'"", "" 'Ein Kompliment (Unplugged)'"", "" 'Ein Kompliment'"", "" 'Ein kleiner Schritt'"", "" 'Fahrt Ins Grüne'"", "" 'Fahrt ins GrÃ¼ne'"", "" 'Fast Wie Von Selbst'"", "" 'Fast wie von selbst (Unplugged)'"", "" 'Fast wie von selbst'"", "" 'FrÃ¼hling'"", "" 'Frühling'"", "" 'Hallo Du'"", "" 'Heimatlied'"", "" 'Ich"", "" 'Ich War Noch Niemals In New York'"", "" 'Ich war noch niemals in New York (Unplugged)']"", "" 'Ich war noch niemals in New York'"", "" 'Lass Mich Nie Mehr Los'"", "" 'Lass mich nie mehr los (Unplugged)'"", "" 'Lass mich nie mehr los'"", "" 'Mag Tischtennis!'"", "" 'Rockâ€™nâ€™Roll Queen'"", "" 'Siehst Du Das Genauso?'"", "" 'Siehst du das genauso? (Unplugged)'"", "" 'Siehst du das genauso?'"", "" 'Supersonnig'"", "" 'UngewÃ¶hnlich'"", "" 'Ungewöhnlich'"", "" 'Wellenreiten â€™54'"", "" 'Wie Lange Sollen Wir Noch Warten?'"", "" 'Wie lange sollen wir noch warten? (Unplugged)'"", "" 'Wie lange sollen wir noch warten?'"", "" 'Wunderbaren Jahren (Unplugged)'"", "" 'Wunderbaren Jahren'"", "" '¡Vamos!'"", "" 'Â¡Vamos!'"", "" 'Ã‚Â¡Vamos! (Unplugged)'"", "" 'â€™54"", ' 2010""', "" 2010'"", "" 7 NÃ¤chte'"", "" 7 NÃƒÂ¤chte (Unplugged)'"", "" Roque']"", "" roque (Unplugged)'"", ' â€™74', ' â€™90', ""['Alles Roger!'"", ""['Alles Roger'"", ""['Ich""]",MTV Unplugged In New York,mbrainz_8399,3790.0,Pop,Sportfreunde Stiller (and others),Germany
