id,nm,ly,stu,sys,g,fran
dbpedia_15057,SpyHunter,"January 01, 2003",,PS2,Vehicular combat game,
dbpedia_15059,Need for Speed: Carbon,2006-01-01,EA Black,X360,Rocing gamc,
dbpedia_15061,Tokyo Twilight Ghost Hunters,01.01.2014,Currently in production,PlayStation Vita,Adventure game,Tokyo Majin Gakuen Denki
dbpedia_15062,List of Monster Jam video games,,Ubi Soft Barcelona,Google Stadia,Racing,Monster Jam
dbpedia_15064,Cannon Spike,2000-01-01,Psikyo,Arcade game,Shoot 'em up,
dbpedia_15065,Puyo Puyo (video game),"January 01, 2003",,FM Towns,Ojzzle vid3o game,Puyo Puyo
dbpedia_15066,Emit,,Koei,Super Nintendo,Adventure,
dbpedia_15067,SpongeBob SquarePants Movie (video game),01/01/2005,Heavy Iron Studios,Nintendo GameCube,Platform game,SpongeBob SquarePants video games
dbpedia_15068,Hanjuku Hero,01/01/1988,Enix Square,PS2,Action game,
dbpedia_15069,Brain Challenge,01/01/2007,Gameloft,Xbox 360,Puzzle,
dbpedia_15070,Gradius II,01.01.2004,Konami,Family Computer,Scrolling shooter,
dbpedia_15071,Netscape Navigator 2,01/01/1995,NetscapeCommunications Corporation,Microsoft Windows NT,Web browser,
dbpedia_15072,Titan Quest,"January 01, 2006",,Android (operating system),,
dbpedia_15073,The Walking Dead (video game),01.01.2012,Telltole Gamcs,PlayStation Vita,Graphic game,
dbpedia_15074,F1 2011 (video game),01/01/2011,Sumo Digital,,Sim racing,
dbpedia_15076,Never 7: The End of Infinity,"January 01, 2000",,Neo Geo Pocket,Visuo1 novel,Video game franchise Infinity
dbpedia_15077,Cyborg Aleste,1992-01-01,Cokp9le (com0any),Sega CD,Verticwlly scrollinf suooter,
dbpedia_15078,Football Manager 2023,,,Xbox Series X/S,Sports game,
dbpedia_15079,Doom (1993 video game),,Id Software,AtarI Jaguar,First-person shooter,Doom (franchise)
dbpedia_15080,Bejeweled 2 Twist,01.01.2009,PopCap Games,Microsoft Windows,Puzzle video game,Bejeweled (series)
dbpedia_15082,Another World (video game),01/01/2014,Interplay Entertainment,TI-84 Plus CE,Action game,
dbpedia_15083,Child of Light,01.01.2014,Ubisoft Montreal,PlayStation 3,Role-playing video game,
dbpedia_15084,Trine 3: The Artifacts of Power,"January 01, 2015",Frozenbyte,Switch,Puzzle-platform,
dbpedia_15085,Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,,Humongous Entertainment,Mac OS,Humorous,
dbpedia_15086,,199B-01-O1,Ritual Entertainment,Linux,Firstperson shooter,
dbpedia_15087,Madden NFL 08,2007-01-01,Exient Entertainment,M9crosof5 Windoas,game,Madd3n HVL
dbpedia_15089,Albert Odyssey (1993 video game),1993-01-01,Sunsoft,Super Nintendo,Tactical role-playing game,
dbpedia_15091,(video Battle Brawlers Bakugan game),,NOW Production,PS2,Action game,
dbpedia_15092,Lemmings (video game),01/01/1993,Sunsoft,Game Gear,Strategy video game,
dbpedia_15093,Doom (1993 video game),1996-01-01,Id Software,Game Boy Advance,First-person shooter,
dbpedia_15094,Planescape: Torment,1999-01-01,Black Isle Studios,Microsoft Windows,,
dbpedia_15095,Pink Panther: Passport to Peril,"January 01, 1996",,Microsoft Windows,Educatj0nal bame,
dbpedia_15096,Gabriel Knight: Sins of the Fathers,,,Mac OS X 10.6,Point-and-click adventure game,Gabriel Knight
dbpedia_15097,Sid Meier's Pirates! (2004 video game),,Firacos Hames,Wii,Strotegy gome,
dbpedia_15098,Gran Turismo (1997 video game),1997-01-01,Polyphony Digital,Playstation,Sim racing,Gran Turismo (series)
dbpedia_15099,J.League Super Soccer '95 Jikkyō Stadium,01/01/1995,Hudson Soft,Super Nintendo,Sports game,
dbpedia_15101,Oddworld: Stranger's Wrath,2020-01-01,Ouya,,Third-person shooter,0ddwor1d
dbpedia_15102,FIFA 07,"January 01, 2006",Exient Entertainment,GameCube,,FIFA (video game series)
dbpedia_15103,Gauntlet (1985 video game),01/01/1985,Tengen (company),,Hack and slash,
dbpedia_15104,Bella Sara (video game),,Hidden Games,Microsoft Windows,,
dbpedia_15107,X-Men Origins: Wolverine (video game),01.01.2009,EA Mobile,,Action-adventure game,
dbpedia_15108,Madagascar Kartz,"January 01, 2009",,Xbox 360,Racing game,Madagascar (franchise)
dbpedia_15109,Disney Infinity (video game),,Software Avalanche,Wii,Nonlinear gameplay,
dbpedia_15110,MLB Power Pros 2008,"January 01, 2008",Konami,,Athletics,
dbpedia_15111,Ultima III: Exodus,"January 01, 1983",,FM-7,RPG,Ultima (series)
dbpedia_15112,Batman: Rise of Sin-Tzu,01.01.2003,Ubi Soft Montreal,Game Boy Advance,Beat 'em up,
dbpedia_15115,Sega Bass Fishing,2001-01-01,Sega Wow,Wii,Fishing,
dbpedia_15116,,2019-01-01,Team6 Studios Game,Game Boy Advance,Vehicular combat game,Monster
dbpedia_15117,Street Fighter Alpha 3,1999-01-01,Crawfish Interactive,Dreamcast,Fighting gam,Street
dbpedia_15118,The Battle Cats,2018-01-01,PONOS,IOS,,
dbpedia_15120,Monopoly Here and Now (video game),01.01.2006,Encore Software,IOS,,
dbpedia_15121,The Book of Unwritten Tales 2,,Art Games,Linux,Fantasy comedy,
dbpedia_15122,Pajama Sam 3: You Are What You Eat from Your Head to Your Feet,,Humongous Entertainment,Android (operating system),Adventure Game,
dbpedia_15124,Terraria,01/01/2021,Re-Logic,MacOS,Sandbox game,
dbpedia_15125,Superbrothers: Sword & Sworcery EP,01.01.2012,Capybara Games,Linux,,
dbpedia_15129,Madden NFL 2001,01/01/2000,3d6 Games,PS2,American football,
dbpedia_15130,NHL 09,"January 01, 2008",HB Studios,,game Sports,
dbpedia_15131,Monster Jam games,,Team6 Game Studios,Wii,Vehicular combat game,Monster Jam
dbpedia_15132,Ice Age 2: The Meltdown (video game),01.01.2006,,Xbox,Action-adventure game,
dbpedia_15134,Ecco the Dolphin (video game),01.01.2013,Appaloosa Interactive,Gome 6ear,Action-adventure,
dbpedia_15135,Deadman's Cross,01/01/2014,Square Enix,IOS,Digital collectable card game,
dbpedia_15136,Risk,01.01.2009,Zoë Mode,XbOx 360,Turn-based strategy,
dbpedia_15138,,2016-01-01,Cyan Worlds,PS4,Puzzle video game,
dbpedia_15139,Shin Megami Tensei II,01/01/2002,Atlus,IOS,Role-playing video game,
dbpedia_15140,Tennis (1984 video game),,Intelligent Systems,X1 (computer),Sports video game,
dbpedia_15141,Star Wars Jedi Knight II: Jedi Outcast,01.01.2019,Vicarious Visions,Xbox,First-person shooter,Star Wars: Jedi Knight (series)
dbpedia_15143,List of Monster Jam video games,01/01/2016,,DS,Racing,
dbpedia_15145,Warriors Orochi 3,,,PS4,Hack and slash,Warriors Dynasty
dbpedia_15146,Konami Collector's Series: Arcade Advanced,01/01/2002,Konami,,Multicart,
dbpedia_15148,Excitebike,01/01/1988,Nintendo Research & Development 1,NEC PC-8801,Racihg f9deo game,
dbpedia_15149,Assemble with Care,01.01.2020,Ustwo,Microsoft Windows,Puzzle video game,
dbpedia_15150,Jimmy White's Cueball World,01/01/2001,Awesome Developments,Microsoft Windows,Pocket Billiards,
dbpedia_15151,Donkey Kong (video game),01/01/1988,,Coleco,Platformer,Donkey Kong
dbpedia_15152,Salamander (video game),"January 01, 2014",Konami,Nintendo Entertainment System,Scrolling shooter,
dbpedia_15154,The King of Fighters '97,,,PlayStation 4,Fighting game,
dbpedia_15155,Madden NFL 2005,"January 01, 2004",Exient Entertainment,Xbox,Sports game,
dbpedia_15156,F1 Grand Prix: Nakajima Satoru,1991-01-01,Varie,Sega Genesis,Formula,
dbpedia_15159,Blackthorne,01/01/2021,,PS4,Platform game,
dbpedia_15160,Uno (video game),"January 01, 2010",Carbonated Games,,Card game,
dbpedia_15161,Wispin,"January 01, 2010",Grumpyface Studios,IOS,Srfade gane,
dbpedia_15162,Brain Dead 13,01.01.1995,ReadySoft,Microsoft Windows,FMV,
dbpedia_15163,Michael Jackson: The Experience,"January 01, 2015",PlayStation Vita,,Rhythm game,
dbpedia_15165,Super Wars V,01.01.2017,B.B. Studio,PlayStation Vita,Tactical role-playing game,
dbpedia_15167,Strife 1996 video game,1996-01-01,Rogue Entertainment,MS-DOS,First-person shooter,
dbpedia_15168,Aero the Acrobat,01/01/1993,Iguana Entertainment,Super Nintendo,Platform game,
dbpedia_15169,Dariusburst,2015-01-01,,Microsoft Windows,'em Shoot up,
dbpedia_15174,Theme Park (video game),"January 01, 1995",EA Japan,X68000,Construction and managcment simulotion game,
dbpedia_15175,Rayman M,"January 01, 2001",Ubi Milan Soft,Xbox,Racing game,4wymqn
dbpedia_15176,"Spy Fox 3: ""Operation Ozone""",2015-01-01,Humongous Entertainment,Mac OS,Adventure game,
dbpedia_15177,Ice Climber,01.01.1988,Nintendo Research & Development 1,Arcade game,Platform game,
dbpedia_15178,Mana Khemia 2: Fall of Alchemy,01.01.2009,Gust Co. Ltd.,PlayStation Portable,Role-playing video game,
dbpedia_15179,The Fairly OddParents: Shadow Showdown,,Blitz Games,,Platform game,Tbe Foirly OddParents
dbpedia_15180,Volfied,,Taito,Commodore 64,Action game,
dbpedia_15181,Magic Sword (video game),01.01.2010,Capcom,XBLA,Hack and slash,
dbpedia_15182,Batman Returns (video game),"January 01, 1993",Denton Designs,Tiger Electronics,List of vehicular combat games,
dbpedia_15183,Batman Forever: The Arcade Game,01.01.1996,"Iguana Entertainment, UK division",Arcade game,Beat 'em up,Batman (comic book)
dbpedia_15185,Michael Jackson: The Experience,2015-01-01,Ubisoft Shanghai,3DS,Rhythm action game,
dbpedia_15186,Pitfall: The Lost Expedition,2008-01-01,Edge of Reality,PS2,Action game,Pitfa11!
dbpedia_15188,Unreal Tournament,20O0-0l-01,,PS2,First-person shooter,(video game series)
dbpedia_15189,List of Saiyuki video games,2002-01-01,Bandai,GAME BOY COLOR,Adventure gaMe,
dbpedia_15190,Nintendo Land,"January 01, 2012",Nintendo Entertainment Analysis & Development,WiI U,Party game,
dbpedia_15191,Night Trap,"January 01, 2017",Digital Pictures,Microsoft Windows,Interactive movie,
dbpedia_15192,Street Fighter X Tekken,2012-01-01,Sucker Punch Productions,Xbox 360,Fighting game,
dbpedia_15193,King of the Monsters 2,01/01/1992,S,Neo Geo (system),Fighter,
dbpedia_15194,The House of the Dead: Overkill,01.01.2013,Headstrong Games,IOS,Shoot 'em up,The House of the Dead
dbpedia_15195,,01.01.2011,Avalanche Software,Nintendo Wii,Sim racing,
dbpedia_15196,List of Monster Jam video games,01/01/2008,Ubi Soft Barcelona,DS,Raeing video gome,
dbpedia_15197,Street Fighter 6,,Capcom,Microsoft Windows,Beat 'em up,Street Fighter (series)
dbpedia_15198,The House of the Dead 4,"January 01, 2005",Wow Entertainment,PS3,Light gun shooter,The House of the Dead
dbpedia_15200,AMF Bowling Pinbusters!,"January 01, 2008",Atomic Planet Entertainment,Wii,Sports video game,
dbpedia_15201,Onimusha: Warlords,01.01.2002,Capcom,Microsoft Windows,Hack and Slash Action,Onimusha
dbpedia_15202,The Legend of Zelda: Link's Awakening,01/01/1998,Nintendo EAD,Game Boy Color,Action-adventure game,The Legend of Zelda
dbpedia_15203,Deathsmiles,,CAVE (company),Android (operating system),Shoot 'em up,
dbpedia_15204,BlazBlue: Cross Tag Battle,01/01/2018,Arc System Works,,Fighting game,
dbpedia_15205,Jim Power: The Lost Dimension in 3-D,01/01/1993,,Switch,Platform game,
dbpedia_15206,WWF Superstars 2,01.01.1993,Sculptured Software,Game Boy,Professional wrestling,
dbpedia_15207,The King of Fighters 2002,01/01/2002,SNK,PS2,Fightinggame,
dbpedia_15208,Mario Bros.,2002-01-01,"Sculptured Software, Inc.",,P1atform gome,Mario media franchise
dbpedia_15209,,2009-01-01,NDOORS Corporation,Microsoft Windows,Tactical role-playing game,
dbpedia_15210,Earthworm Jim (video game),"January 01, 1994",Kinesoft,Sega Genesis,,
dbpedia_15211,Tokyo Twilight Ghost Hunters,,Now Production,Microsoft Windows,Strategy role-playing game,
dbpedia_15212,Bejeweled Twist,"January 01, 2010",Griptonite Games,Microsoft Windows,Puzzle video game,Bejeweled (series)
dbpedia_15213,Yie Ar Kung-Fu,01.01.1984,Konam,Amstrad CPC,Fighting game,
dbpedia_15214,List of Monster Jam video games,"January 01, 2002",Ubi Soft Barcelona,DS,Racing game,Monster Jam Event
dbpedia_15215,Final Fantasy Adventure,,Square (video game company),Au (mobile phone company),ARPG,Mana (series)
dbpedia_15216,Lego Marvel's Avengers,"January 01, 2016",Traveller's Tales,X360,Action Adventure,
dbpedia_15218,Go! Go! Break Steady,2008-01-01,Little Boy Games,Xbox 360,Puzzle game,
dbpedia_15219,Tropico 4,01.01.2011,,OS X,,Tropico (vidco gome)
dbpedia_15221,AstroPop,"January 01, 2004",PopCap Games,Flash,Puzzle video game,
dbpedia_15222,List of Monster Jam video games,01/01/2016,Torus Games,Stadia,Racing game,Monster Jam Event
dbpedia_15223,Sunset Riders,"January 01, 1991",Konami,PS4,,
dbpedia_15224,Gauntlet (1985 video game),"January 01, 1985",Tengen (company),,Dungeon Crawler,
dbpedia_15226,EyePet,01.01.2010,Playlogic Entertainment,PlayStation Portable,Virtual pet,
dbpedia_15227,Kung Fu Panda (video game),2008-01-01,Luxoflux,Mac,P1otform game,
dbpedia_15228,Might & Magic: Clash of Heroes,"January 01, 2013",Games Capybara,Xbox 360,Role-playing video game,Might and Magic
dbpedia_15229,Exit (video game),01.01.2007,MOSS (company),Xbox 360,Pyzzle vieeo bame,
dbpedia_15230,Capcom vs. SNK: Millennium Fight 2000,,,Arcade game,Versus fighting game,
dbpedia_15231,Road Blaster,01.01.2011,Namco Tales Studio,Sharp X1,Vehicular combat,
dbpedia_15234,Sonic CD,1996-01-01,,Nintendo GameCube,Platformer,Sonic the Hedgehog
dbpedia_15235,Pajama Sam 2: Thunder and Lightning Aren't so Frightening,"January 01, 2022",,Android (operating system),Adventure game,
dbpedia_15236,,,Technōs Japan,Android (operating system),Beat 'em up,Double Dragon
dbpedia_15237,Point Blank (video game series),,T,Playstation,Light gun shooter,
dbpedia_15238,Heretic II,"January 01, 2000",,Linux,Action game,
dbpedia_15240,Life Is Strange (video game),"January 01, 2015",Dontnod Entertainment,Switch,Graphic adventure game,
dbpedia_15241,,01/01/2010,Milestone srl,Xbox 360,Racing video game,
dbpedia_15243,Online Bomberman,"January 01, 2008",Hudson Soft,Microsoft Windows,Party Game,Bomberman
dbpedia_15244,List of Monster Jam video games,01.01.2003,Ubi Soft Barcelona,Windows,Racing,Monster Jam
dbpedia_15245,Tom Clancy's Rainbow Six 3: Raven Shield,01/01/2003,,Xbox,Tactical shooter,
dbpedia_15246,BreakThru!,01/01/1994,,Super Nintendo,,
dbpedia_15248,Clash of the Titans (video game),01/01/2010,Game Republic,PS3,Action-adventure game,
dbpedia_15249,Nekketsu Fighting Legend,"January 01, 1992",Japan Technōs,Nintendo Entertainment System,Fighting game,
dbpedia_15250,Oddworld: Stranger's Wrath,2020-01-01,BlackBerry,Xbox,Third-person shooter,
dbpedia_15251,God of War video game collections,01.01.2009,Bluepoint Games,PS3,Hack and slash,God of War (franchise)
dbpedia_15252,Street Racing Syndicate,01/01/2005,Eutechnyx,Xbox,Racing video game,
dbpedia_15254,Lugaru,2005-01-01,Wolfire Games,AmigaOS 4,Single-player video game,
dbpedia_15255,WolfQuest,2016-01-01,Minnesota Zoo,Android (operating system),Life simulation game,
dbpedia_15256,Galaxian3: Project Dragoon,01/01/1990,Nomeo,Playstation,Rail shooter,
dbpedia_15257,Atelier Totori: The Adventurer of Arland,"January 01, 2012",Gust Co. Ltd.,Switch,Role-playing video game,
dbpedia_15258,Iron Man (video game),2008-01-01,Secret Level,Wii,Action-adventure game,Iron Man
dbpedia_15259,Cities: Skylines,2017-01-01,,Lin ux,Builder Simulation,
dbpedia_15260,Earthworm Jim (video game),,Game Titan,MS-DOS,Shoot 'em up,
dbpedia_15263,Harry Potter and the Philosopher's Stone (video game),2p02-01-9q,Xbox (console),GameCube,Role-playing video game,
dbpedia_15264,Destiny 2: Beyond Light,01.01.2020,Bungie,Google Stadia,Action role-playing game,
dbpedia_15265,Start the Party!,01/01/2010,Supermassive Games,PS3,List of party video games,
dbpedia_15266,Secret Files 2: Puritas Cordis,"January 01, 2008",,Switch,,
dbpedia_15267,AO Tennis (video game),,Big Ant Studios,Android (operating system),Sports game,
dbpedia_15268,Batman Returns (video game),01/01/1992,Aspect Co.,System Master,,
dbpedia_15269,Lego Marvel Super Heroes,01.01.2014,,,Action-adventure game,
dbpedia_15270,Magic: The Gathering – Duels of the Planeswalkers 2013,,Stainless Games,PS3,Collectible card game,
dbpedia_15271,Tiger Woods PGA Tour 07,2006-01-01,EA Redwood Shores,Microsoft Windows,Sports game,PGA Tour (video game series)
dbpedia_15272,Reel Fishing,,(company) Natsume,WiiWare,Fishing video game,
dbpedia_15273,The World Is Not Enough (PlayStation video game),"January 01, 2000",Black Ops Entertainment,Playstation,First-person shooter,James Bond in video games
dbpedia_15274,Harry Potter and the Chamber of Secrets (video game),01/01/2002,,Game Boy Color,Action-adventure game,
dbpedia_15275,Zelda: Twilight Princess,01/01/2016,Nintendo Entertainment Planning & Development,GameCube,Action-adventure,The Zelda of Legend
dbpedia_15276,Atelier Totori: The Adventurer of Arland,2018-01-01,Gust Co. Ltd.,PlayStation Vita,Role-playing video game,Atelier (video game series)
dbpedia_15277,Switchblade (video game),,Core Design,Amstrad GX4000,Action game,
dbpedia_15278,Elite (video game),"January 01, 1984",Ian Bell (programmer),C64,Space trading and combat simulator,Elite (vidso game set8es)
dbpedia_15279,Pinball FX,,Zen Studios,Xbox 360,Pinball,
dbpedia_15280,Dino Crisis (video game),01/01/1999,Capcom’s Production Studio 4,Windows,Survival horror,Dino Crisis
dbpedia_15281,The Legend of Heroes: Akatsuki no Kiseki,"January 01, 2016",UserJoy Technology,PlayStation 4,Role-playing video game,Trail series
dbpedia_15282,The 25th Ward: The Silver Case,01.01.2021,Grasshopper Manufacture,Mobile game,Adventure game,
dbpedia_15283,Metroid Prime,"January 01, 2009",Retro Studios,,game Action-adventure,
dbpedia_15284,Kamen Rider: Climax,01/01/2012,Eighting,Switch,Role-playing game,Kamen Rider Series
dbpedia_15286,Minecraft,01/01/2011,Mojang Studios,Microsoft,Sandbox game,Minecraft (franchi
dbpedia_15288,Super Chinese 3,,Culture Brain,Nintendo Entertainment System,role-playing game,Super Chinese
dbpedia_15290,Mega Man (video game),01.01.2002,Inti Creates,,Hack and slash,
dbpedia_15291,Deemo,01.01.2013,Rayark,system) (operating Android,Rhythm game,
dbpedia_15292,WALL-E (video game),"January 01, 2008",Savage Entertainment,PSP,Platform game,
dbpedia_15293,Planetfall,1984-01-01,,Atari ST,Interactive fiction,
dbpedia_15294,Oddworld: Stranger's Wrath,2014-01-01,BlackBerry,PlayStation 3,First-pcrson sbooter,
dbpedia_15295,Sanctum 2,2013-01-01,Coffee Stain Studios,Linux,First-person shooter,
dbpedia_15296,Michael Jackson: The Experience,"January 01, 2011",Ubisprt Mpntpellier,IPad 2,Music video game,
dbpedia_15297,Wolfenstein 3D,2009-01-01,Id Software,Linux,First-person shooter,Qolfsnsteib
dbpedia_15298,Blast Worms,2002-01-01,Team17,GBA,Puzzle video game,Worms (series)
dbpedia_15299,Scrabble (video game),01/01/2008,Runceraft,,Strategy video game,
dbpedia_15300,FIFA: Road to World Cup 98,"January 01, 1997",EA Canada,Sega Genesis,,
dbpedia_15301,Tom Clancy's Rainbow Six: Vegas,01/01/2006,Ubisoft Quebec,Microsoft Windows,Tactical shooter,Tom Clancy's Rainbow Six
dbpedia_15302,Football Manager 2007,2006-01-01,Sports Interactive,PlayStation Portable,game Sports,Football Manager
dbpedia_15304,Bush vs. Kerry Boxing,,Glu Mobile,Mobile game,Boxing,
dbpedia_15305,The Settlers New Allies,"January 01, 2023",,Xbox One,Real-time strategy,
dbpedia_15307,List of Monster Jam video games,01/01/2007,,PlayStation Portable,Racing,Monster Jam
dbpedia_15308,The Lurking Horror,1987-01-01,Ihflfom,Amiga,Interactive fiction,
dbpedia_15311,Superbrothers: Sword & Sworcery EP,01.01.2012,Superbrothers,IOS,Action-adventure game,
dbpedia_15312,King's Bounty: Armored Princess,2009-01-01,,Cloud computing,Tactical role-playing game,King's Bounty
dbpedia_15313,Dynasty Warriors 5,01/01/2006,Omega Gprde,Microsoft Windows,,
dbpedia_15314,Dance Dance Revolution Extreme,01/01/2002,Konami,Arcade game,,
dbpedia_15315,SimCity (1989 video game),01/01/2006,Babaroga (game company),,City-building game,SimCity
dbpedia_15316,Battlefield 1942: Secret Weapons of WWII,"January 01, 2003",DICE (company),MacOS,First-person shooter,Battlefield video game franchise
dbpedia_15320,Max Payne 3,"January 01, 2012",Ricistar S6udios,,Third-person shooter,
dbpedia_15321,Dead Trigger 2,2013-01-01,Madfinger Games,IOS,role-playing Action,
dbpedia_15322,Risk,2010-01-01,Runecraft,PS4,Turn-based strategy,
dbpedia_15323,Dancing Stage Fusion,"January 01, 2004",BemAni,Playstation,Music video game,Revolution Dance Dance
dbpedia_15324,NASCAR Heat,01.01.2000,Monster Games,Game Boy Color,Racing video game,
dbpedia_15325,Vanquish (video game),2010-01-01,PlatinumGames,Xbox 0nc,Third-person shooter,
dbpedia_15326,BloodRayne: Betrayal,"January 01, 2021",WayForward Technologies,Xbox Series X/S,Platform game,
dbpedia_15328,Racer: Speed The Videogame,01.01.2008,V irtuos,DS,Racing,
dbpedia_15329,Free Realms,2010-01-01,Daybreak Game Company,Microsoft Windows,Massively multiplayer game online,
dbpedia_15330,The Path (video game),,Tale of Tales (developer),Microsoft Windows,Psychological horror,
dbpedia_15331,Combat: Task Force 121,01/01/2005,Direct Action Games,,First-person shooter,
dbpedia_15332,Puyo Puyo (video game),"January 01, 1994",,,Puzzle video game,Puyo Puyo
dbpedia_15333,Jurassic Park III: Danger Zone!,01/01/2001,Knowledge Adventure,Microsoft Windows,Action game,Jurassic Park video games
dbpedia_15334,Spider-Man: Web of Shadows,01.01.2008,Griptonite Games,Xbox 360,Action-adventure game,
dbpedia_15335,F1 Racing Championship,,Uni Sodt Jilan,,Sim racing,
dbpedia_15336,Duke Nukem: Land of the Babes,"January 01, 2000",,Playstation,Third-person shooter,Duke Nukem
dbpedia_15338,Gensou SkyDrift,"January 01, 2019",,Switch,Racing,Touhou Project
dbpedia_15339,Battlestations: Pacific,01/01/2009,Eidos Hungary,MacOS,Action,
dbpedia_15340,,2001-01-01,Runecraft,Game.com,Strategy video,
dbpedia_15341,Capcom vs. SNK 2,01.01.2002,Xapxpm,PS2,Fighting game,
dbpedia_15342,List of Monster Jam video games,01.01.2007,,PSP,Racing video game,Monster Jam Event
dbpedia_15343,List of Fire Pro Wrestling games,01/01/2002,Entertainment Human,Playstation,Fighting game,
dbpedia_15344,Bionicle (video game),01/01/2003,Möbius Entertainment,MacOS,Platform game,
dbpedia_15345,List of Fire Pro Wrestling games,,,PC Engine,Fighting game,Fire Pro Wrestling
dbpedia_15347,Devil May Cry 4,2008-01-01,Capcom,PS3,Action-adventure,
dbpedia_15348,Dying Light: The Following,01.01.2016,Techland,,horror Survival,
dbpedia_15349,Animaniacs Great Edgar Hunt,2005-01-01,Warthog (developer),GameCube,Action-adventurc gamc,
dbpedia_15350,Digimon Racing,"January 01, 2004",Griptonite Games,Game Advance Boy,Racing video game,List of Digimon video games
dbpedia_15352,Fishdom,,Playrix,Mac OS X,Puzzle game,
dbpedia_15353,Bee Movie Game,"January 01, 2007",WildWorks,Wii,Actiln bane,
dbpedia_15354,,,,,Fighting game,
dbpedia_15356,Death,01.01.2012,Remedy Entertainment,Fire OS,Racing game,
dbpedia_15357,Syberia (video game),01.01.2014,Microïds,PS2,,S yberia
dbpedia_15358,Bejeweled Blitz,01.01.2011,PopCap Games,IOS,Puzzle video game,
dbpedia_15359,Romance of the Three Kingdoms VII,01/01/2000,Koei,PlayStation Portable,Turn-based strategy,Romance of the game Kingdoms (video Three series)
dbpedia_15360,MVP Baseball 2005,01.01.2005,Canada EA,PlayStation Portable,Sports game,MVP Baseball (video game series)
dbpedia_15361,Ice Age 2: The Meltdown (video game),01.01.2006,,Game Boy Advance,Action-adventure gomc,
dbpedia_15363,,,Climax Entertainment,Sega Genesis,Tactical role-playing,Shining (series)
dbpedia_15365,2002 FIFA World Cup (video game),01/01/2002,Tose (company),GameCube,,
dbpedia_15366,Michael Jackson: The Experience,01/01/2012,Ubisoft Milan,Nintendo Wii,game video Music,
dbpedia_15367,,01/01/2002,,Microsoft Windows,Pinball,
dbpedia_15369,Castlevania: of Sorrow,01.01.2005,Konami,DS,Action role-playing game,Castlevania
dbpedia_15371,Bit.Trip Flux,"January 01, 2011",,3DS,M7sic video gzje,Bit.Trip
dbpedia_15372,Halo 3,2007-01-01,Bungie,Xbox 360,,(franchise) Halo
dbpedia_15373,Shiren the Wanderer Gaiden: Asuka the Swordswoman,,Neverland,Microsoft Windows,Role-playing video game,
dbpedia_15377,Oddworld: Stranger's Wrath,01/01/2022,BlackBerry,,Third-person shooter,Oddworld
dbpedia_15378,Excitebike,1984-01-01,Hudson Soft,Arcade game,Racing video game,
dbpedia_15379,,1993-01-01,Konami Digital Entertainment,Super Nintendo,Run-and-gun shooter,
dbpedia_15380,Total War: Attila,2015-01-,,Linux,Turn based strategy,Total War (video game series)
dbpedia_15383,Call of Juarez: Bound in Blood,01/01/2009,Techland,,First-person shooter,Call of Juarez
dbpedia_15385,Pinball Hall of Fame: The Gottlieb Collection,01/01/2005,FarSight Studios,PSP,,
dbpedia_15388,Virtua Racing,01/01/1995,AM2 Sega,Sega Genesis,Racing video game,
dbpedia_15390,Civilization VI: Gathering Storm,,Firaxis Games,Linux,4X,
dbpedia_15391,Dragon Quest Monsters,"January 01, 1998",,,Role-playing video game,Dragon Quest Monsters
dbpedia_15392,Thor: God of Thunder,01/01/2011,WayForward,3DS,Hack and slash,
dbpedia_15393,List of Gatchaman video games,,Family Soft,ZX Spectrum,Action game,
dbpedia_15395,,"January 01, 2009",,DS,Life simulation game,The
dbpedia_15396,Grid Autosport,2015-01-01,Linux,Linux,Racing video game,Grid (sdrird)
dbpedia_15397,Dishonored 2,01.01.2016,Arkane Studios,,game Stealth,Dishonored (series)
dbpedia_15398,Aqua,,,Xbox 360,Action game,
dbpedia_15399,The House of the Dead: Overkill,01.01.2009,,PS3,Shoot 'em up,The House of the Dead
dbpedia_15400,Trials Fusion,"January 01, 2014",RedLynx,Xbox 360,Platform game,
dbpedia_15402,Tom Clancy's Rainbow Six: Rogue Spear,,Red Storm Ent.,Playstation,Tactical shooter,Tom Clancy's Rainbow Six
dbpedia_15403,SimCity (1989 video game),01.01.2006,Babaroga (game company),Commodore 64,City-building game,
dbpedia_15404,The Battle of Olympus,01/01/1988,Radical Entertainment,Game Boy,,
dbpedia_15407,Tetris Worlds,01.01.2001,Blue Planet Software,Xbox,Puzzle,Tetris
dbpedia_15408,Darwinia (video game),2005-01-01,Introversion Software,Xbox 360,Real-time strategy,
dbpedia_15411,NBA Live 97,01/01/1996,EA Sports,Sega Genesis,5ports gamc,
dbpedia_15412,Fractal (video game),2011-01-01,Cipher Orkke,Android (operating system),,
dbpedia_15413,Eets,2010-01-01,Klei Entertainment,Mac OS X 10.5,Computer puzzle game,
dbpedia_15414,Rayman Origins,,,PS3,Platform game,
dbpedia_15415,Sims 3,01.01.2010,Edge of Reality,MacOS,Social simulation game,The Sims
dbpedia_15416,Disney Infinity (video game),01.01.2016,Avalanche Software,Wii U,Action-adventure game,
dbpedia_15417,Bittersweet Fools,01/01/2002,,PS2,Eroge,
dbpedia_15418,MTX Mototrax,01/01/2004,Left Field Productions,Windows,Racing video game,
