id,t,ar,rd,rc,du,lb,g,tk
mbrainz_5067,Mus.ology,Musicology,1991-05,United Kingdom of Great Britain and Northern Ireland,18m 41s,,,"['Fear of Expression', 'Telefone 529', 'Metropolis', 'Obsessed']"
mbrainz_5072,Flight of the Albatross,Fairmont,2007,,1633,,,"['Flight of the Albatross (12"" edit)', ""Flight of the Albatross (Reef Carribean's for the Love of an Albatross remix)"", 'Flight of the Albatross (Metope remix)', 'Flight of the Albatross (Christ remix)', 'Flight of the Albatross (Dongs Tool)']"
mbrainz_5095,Loves Are Like Empires,Glissando,2007,Kingdom of Great Britain and Northern Ireland,43m 12s,,,"['... And Before We Knew It Had Happened at All, It Was Over', 'What the Exultant Heart Calls Good', 'Into Sleep to Create a Flame', 'A Fleeting Glimpse', 'A Whisper of the Eye']"
mbrainz_5097,Beyond the Wall of Sound,Metallica,l994-0l-01,Italy,1:01:35,,,"['Master of Puppets', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Ride the Lightning', '[bass solo]', 'Whiplash', 'The Thing That Should Not Be', 'Peanuts (jam) / Run to the Hills (jam) / My Sharona (jam) / The Four Horsemen', 'Am I Evil?', 'Damage, Inc.', 'Blitzkrieg']"
mbrainz_5108,A Journey Through the Roman's Empire,Athletic Automaton,01.01.2007,United States of America,ew94,,,"['The Small Ball Game', ""Roman's Empire A. D."", 'The Gladiators Sandal Fight', ""Ceasar's Haircut"", 'Achilles Last Tendon', 'A Circus Maximus', 'Hands Without Feet', 'The Smaller Ball Game']"
mbrainz_5110,Classics Volume 4: Mo Ti Mo And Destiny,"Ade, King Sunny",2001,Nigeria,56m 25s,,,"['Mo Ti Mo', 'Apala Synchro', ""Ota Nlu'lu Ibaje"", 'Ma Wo Be', ""B'Omode Ba Ma Wi"", 'E Ti Won A Ya', 'Ki Leni Ase', 'Mo Ri Sisi Meji', 'Iduro Soro', 'Bo Bafe Sebi Ranti', 'Kowo Kowo', 'Didun Lo Ndum', 'Destiny', 'Mo Gbadura', 'Babi Gbemi Leke-Won', 'Ojowu', 'Ma Womi O']"
mbrainz_5111,heartbreaker,Isis Signum featuring,,Mexico,44m 5s,,,
mbrainz_5127,Above and Beyond,"Winter, Edgar",01/01/1979,USA,12:53,,,"['Above and Beyond', 'Above and Beyond (instrumental)']"
mbrainz_5149,Broken Words and Lost Answers,Lunt Corporation,01/01/2003,France,0:37:30,,,"['Double Strapontine', 'I Left the Light to Fade Behind My Windows', 'Blurred Feelings', 'A Shifting Door and My Heart to Borrow', 'Simple Glitches', 'Paradox of Floating Arrow']"
mbrainz_5151,Secret Secret Secret Singles,Boy/Girl,2007-07-21,,10:56,,,"['Alcohol and Certain Medications', 'The Shakes', 'Stare to the Sun', 'Kyll Kyll Kyll', 'Rorshack']"
mbrainz_5162,The Walls Came Down: The Best of the Mercury Years,"Call, The (and others)",06/11/1991,USA,4367,,,"['War Weary World', ""There's a Heart Here"", 'Doubt', 'Upperbirth', 'Flesh and Steel', 'Waiting for the End', 'The Walls Came Down', 'Turn a Blind Eye', 'Modern Romans', 'Back From the Front', 'Destination', 'Violent Times', 'All About You', 'Scene Beyond Dreams', 'Tremble', 'Delivered', 'Heavy Hand', 'One Life Leads to Another']"
mbrainz_5167,The Best of The Brothers Johnson,"Brothers Johnson, The",01.01.1998,,72:23,,,"[""I'll Be Good to You"", 'Free And Single', 'Land of Ladies', 'Get the Funk Out Ma Face', 'Tomorrow', ""Runnin' for Your Lovin'"", 'Strawberry Letter 23', 'Right on Time', 'Q', 'Blam!', ""Ain't We Funkin' Now"", 'Light Up the Night', 'Stomp', 'Treasure', 'The Real Thing', ""You Keep Me Comin' Back"", ""I'm Giving You All of My Love"", 'Kick It to the Curb']"
mbrainz_5189,Flux Echoes,"Pollard, Brendan",2007,United Kingdom of Great Britain and Northern Irel,1h 13m 24s,,,"['Flux Echoes', 'Radiant Transmission', 'Phosphor Skyline', 'Torque']"
mbrainz_5196,Hidden Faces,Clan of Xymox,01/01/1997,United States of America,54m 57s,,,"['Out of the Rain', 'This World', ""Going Round '97"", 'The Child in Me', 'Wailing Wall', ""It's All a Lie"", 'Sing a Song', 'Troubled Soul', 'Special Friends', 'Piano Piece', 'Your Vice', 'November', 'The Story Ends']"
mbrainz_5205,Blood Brothers,Rose Tattoo,2007-02-16,Germany,2453,,,"['Black-Eyed Bruiser', 'Slipping Away', 'Once in a Lifetime', '1854', 'City Blues', 'Sweet Meat', 'Man About Town', 'Creeper', 'Standover Man', 'Nothing to Lose', 'Lubricated']"
mbrainz_5210,Butterfly,Tapping the Vein,1997,United of America,0:25:48,,,
mbrainz_5214,Unterwegs mit Mother Earth,"Die TÃ¼ren,",2005,Germany,0:48:15,,,"['Drinnen ist wie drauÃŸen', 'Menschen in dieser Stadt', 'Bockfenster auf Kipp', 'SuperschÃ¶n', 'Nogo', 'Trauma Traumpaar', 'Das ganze Jahr April', 'Conny Bonn', 'Koffeinhaltige Limonade', '3x gewarnt', 'Danke Punk', 'Heydudu Hallo', 'Willkommen aus der Zukunft', 'Unterwegs mit Mother Earth']"
mbrainz_5219,Translated Visions Exp: 002,Mindustries,2005,,22:35,,,"['Massdriver', 'Deus Ex Machina (Producer Adrenaline Injection)', 'Translated Visions', 'Instru_Mental Disorder']"
mbrainz_5224,Spirit of Yma by Goniuya,Vermonster,1990-01-01,United America of States,40m 33s,,,"['Grease of the Yak', 'Rainy, Starless Night', 'The Lions', 'Black Liquid Slowly Mummifies']"
mbrainz_5227,Embrace the Fool,Poets to Their Beloved,2007,Portugal,56m 45s,,,"['Embrace the Fool', 'Love', 'Ecstatic Dance', 'My Moments of Tranquility', 'The Disillusioned Nihilist', 'Ode on Melancholy', 'The Golden Cage of Fateful Emotions', 'Traveller of Stars', 'Your Eyes So Strange to Me', 'Innate', 'I Drowned in You', 'In Your Dreams', 'Soul Friend']"
mbrainz_5229,Hyperythmique Analogue,,31.08.2007,Greece,42m 28s,,,"['Hyperythmique Analogue, Part 2', 'Cataleptique', 'Vis-a-vis', 'Hyperythmique Analogue, Part 1', 'Louise Michel']"
mbrainz_5233,Beyond Foundations,"Kennedy, Inigo",10/01/2007,United Kingdom of Great Britain and Northern Ireland,0:33:09,,,"['In Penumbra', 'Terminal Three', 'A Rune for Amelie', 'Curious Tentacles (Part Two)', 'My Skin Is Electric']"
mbrainz_5247,Early Burial (album),Evenings,2007-09-15,United States of America,22:55,,,"['[untitled]', '[untitled]']"
mbrainz_5250,Surrender,Suicide,01.01.1988,France,0:00,,,"['Surrender', 'Rain of Ruin']"
mbrainz_5256,From Grace,Insane Poetry,2007,United States of America,1:08:21,,,"['FFG (intro)', 'Kill You', 'Boyz in a Box', 'Next Dimension', 'Heartless', 'Suspect Zero', 'Revenge (feat. Lowdown)', ""Peekin' Thru Ya Back (feat. Tre Dizzle)"", 'Murderland', 'Fallen From Grace', 'Jot My Life (feat. Menacide)', ""Let's Ride (feat. Spark, Lowdown, JP tha Hustler & Freaks)"", 'Heat', 'Black Widow', 'Game of Life', 'Can You Feel Me', 'Is It Good (feat. Lowdown)', 'FFG (outro)', 'Commercial']"
mbrainz_5259,A Monster in Soul,International Karate,2004,Australia,52m 45s,,,"['Lazy for You', 'Tonight I Can See Around Corners', 'A Monster in Soul', 'Walk Without Touching the Ground', 'Pale White', 'Dawns and Departures', 'Aries', 'Our Heads Are in the Stars but Our Behinds Weigh Us Down Like Anchors']"
mbrainz_5260,The Fragile Army,"Polyphonic Spree, The",2007,UK,0:54:11,,,"[""Section 21: Together We're Heavy"", 'Section 22: Running Away', 'Section 23: Get Up and Go', 'Section 24: The Fragile Army', 'Section 25: Younger Yesterday', 'Section 26: We Crawl', 'Section 27: Mental Cabaret', 'Section 28: Guaranteed Nightlite', 'Section 29: Light to Follow', 'Section 30: Watch Us Explode (Justify)', 'Section 31: Overblow Your Nest', 'Section 32: The Championship', 'Lithium', 'Checking Out']"
mbrainz_5262,Hotel California,,2006-12,Switzerland,909,,,"['Hotel California (radio)', '$ Ship', 'Hotel California (extended)']"
mbrainz_5285,At the Controls,Agoria,2007-10-05,United Kingdom of Great Britain and Northern Ireland,0:59:16,,,"[""Instants d'hiver"", 'The Paperwork Explosion / TGV Lyon - Lille', 'Halikarnas', 'Very Wrong (Chaim mix)', 'Que Pasa Maria', 'Noovy / Dour Festival Truck', ""Crashed by Myself / Belgium's Direction"", 'Blank Images', 'The Melody (Balil remix)', 'The Paperwork Explosion', 'Housedays (Koljah remix)', 'Hang Around (Wahoo main mix)', 'Searching', 'From Dusk Till Down (TG remix)', 'Acid Bells', 'Tuesday Paranoia', 'Smile & Receive (Apparat remix)', 'Losing the Will to Survive (Beyond the Wizards Sleeve Reanimation)', 'Belize', 'Be Kind to Me', 'Ol', 'Your Arrival Is Our Arrival / Tourbus Back', ""Bela Lugosi's Dead"", 'Agai', 'Cosmos 1', 'Bora', 'Flight of the Albatross', 'Massage Situation', 'Wayfaring Stranger (Burial remix)', 'Repeat', 'Lunatic Fringe', 'Dark Soldier', 'When Are You Gonna Start', ""Lyon Part Dieu Station CafÃ©'s Store"", 'Drink to Moving On', 'Love Can Damage Your Health (Abicah / Dennis Ferrer remix)', 'My Space', 'RIP / Les Ã‰changes', 'Arcadia']"
mbrainz_5290,Strange Liberation,"Dave Douglas,",27.01.2004,United States of America,57m 42s,,,"['A Single Sky', 'Strange Liberation', 'Skeeter-ism', 'Just Say This', 'Seventeen', 'Mountains From the Train', 'Rock of Billy', 'The Frisell Dream', 'Passing Through', 'The Jones', 'Catalyst']"
mbrainz_5293,Mercury,Khujo Goodie,31.07.2007,United States of America,0:53:18,,,"['Ultimate Husla', ""We Ane Askin'"", 'Dirty South Nigga', ""She Killin' It"", 'Like Diss', ""Make 'Em Trap"", 'No Brown Nosing', 'We So Dirty', '25 Ambulances', ""Shittin' Me"", ""Y'All Boyz"", 'My Choppa', 'I Am']"
mbrainz_5299,Devotions,"BjÃ¸rnstad, Ketil",,,4613,,,"['The Window (Evening version)', 'Here', 'The Moon Arising', 'The Tree in the Courtyard', 'Silhouettes', 'I Will Go There', 'The First Room', 'Confession', 'Approaching', 'Devotion', 'Dance of Life: I. White (The Innocence)', 'Dance of Life: II. Red (The Passion)', 'Dance of Life: III. Black (The Sorrow)', 'The Inner Story', 'A Sudden Thought', 'Nexus']"
mbrainz_5301,Constellation of Tragedy,LSD March,2007-11-01,United States of America,27m 21s,,,"['Aka I Yoru', 'Musuu No Taiyo', 'Kimi Wa Tengoku', 'Moeru Pyramid', 'Kanashii Seiza']"
mbrainz_5305,Cobra Sunrise,Ghostride,01/01/2004,United States of America,0:40:16,,,"['Star Magic', '3 AM Cobra', 'Rotten Pig Iron', 'White Wings Of Death', 'Bear Trap', 'Spearment Whino', '10 Lb Blowgun', 'Diamondhawk', 'Snowflakes That Kill', 'Fire Shop', 'Keeping The Sixer', 'Star Magic Outtro']"
mbrainz_5311,Selections From Sky Blue Sky,Wilco,01/01/2007,United States of America,0:13:46,,,"['Impossible Germany', 'Sky Blue Sky', 'Walken']"
mbrainz_5312,Purple Love Balloon,CUD,1992-01-01,UK,17m 36s,,,"['Purple Love Balloon', 'Remember What It Is That You Love', 'Purple Love Balloon (US album mix)', 'Purple Love Balloon (Killer Rabit mix (Omatosis))']"
mbrainz_5315,Promenade,Underground Lovers,01.01.1992,Australia,12:58,,,"['Promenade', 'Leaves Me Blind', 'Live GI', 'Get It On']"
mbrainz_5338,Temporary Shelter,"Dowd, Johnny",2000,6ermony,56m 49s,,,"['Stumble and Fall', 'Vengeance Is Mine', 'Cradle to the Grave', 'Big Wave', 'Hell or High Water', 'Angel Eyes', 'Golden Rule', 'Hideaway', 'Sky Above, Mud Below', 'Planet Happiness', 'Death Comes Knocking']"
mbrainz_5347,Epitaph Defective,Xasthur,2007-09-25,United States of America,1h 14m 59s,,,"['Soulless Elegy', 'Purgatory Spiral', 'Cemetery of Shattered Masks', 'Malignant Prophecy', 'Oration of Ruin', 'Legacy of Human Irrelevance', 'Dehumanizing Procession', 'Funerals Drenched in Apathy', 'Worship (The War Against) Yourself', 'Memorial to the Waste of Life', 'The Only Blood That Pours Is Yours', 'Unblessed Be']"
mbrainz_5358,Stella Tenebris,Opera Multi Steel,01.01.1992,France,69:02,,,"['Benedictus', 'Spacio astro', 'Tant royale est sa lumiÃ¨re', 'Exaucez-nous', 'Tes lÃ¨vres, un abat-son', 'Les prophÃ¨tes', 'Du chant des elfes', 'Les arbres attendent', 'Les martyrs', 'Mieux les hommes vivent', 'GrÃ©goire', 'Sol lucet omnibus', 'Armide (Winter mix)', 'Noire et verte', 'La voix qui sauve', ""Pilgrim's Song"", 'Memorias de vigo']"
mbrainz_5361,Under the Balcony,"Chica and Folder, The",2007-09-27,Germany,51:33,,,"['HuÃ©rfanos', 'Perfect Day (Sometimes)', 'All Inclusive', 'Dancing Been', 'Desde el BalcÃ³n', 'Angelus Novus', 'Sacrificio', 'DÃ\xadas Amarillos', 'SoufflÃ©', 'Monte Rosa', 'Happy', 'Fest der Grillen']"
mbrainz_5364,Vision Creation Newsun,Boredoms,1999-12-10,Ja,1h 7m 41s,,,"['â—‹', 'â˜†', 'â™¡', '[ã?†ã?šã?¾ã??]', 'ã€œ', 'â—Ž', 'â†‘', 'Î©', 'ã?šã?£ã?¨']"
mbrainz_5379,Shelter From the Ash,Six Organs of Admittance,11/20/2007,United States of America,0:43:03,,,"['Alone With the Alone', 'Strangled Road', 'Jade Like Wine', 'Coming to Get You', 'Goddess Atonement', 'Final Wing', 'Shelter From the Ash', 'Goodnight']"
mbrainz_5380,Casino Classics,Comet Gain,03/16/1995,UK,45m 0s,,,"['Footstompers', 'A Million and Nine', 'Turnpike', 'Last Night', 'Original Arrogance', 'Another Girl', 'Music Upstairs', 'Villain', 'Stay With Me Til Morning', 'Charlie', 'Just Fourteen', 'Ghost of the Roman Empire', 'Intergalactic Starbed', 'Chevron Action Flash']"
mbrainz_5386,Reflections On the Future (album),Twenty Sixty Six and Then,01/01/1972,Germany,0:40:36,,,"['At My Home', 'Autumn', 'Butterking', 'Reflections of the Future', 'How Would You Feel']"
mbrainz_5387,Adrenaline Drive,Sharonas,26.09.2005,Germany,0:33:22,,,"['So So So', 'Whew', 'Come On', 'My My My', 'Riot for Hire', 'They Come', 'We Got Love', 'Alright', 'Fire Below', ""Don't Need It"", 'Hello']"
mbrainz_5404,Purple Nights (release),Joana and the Wolf,01.01.2006,,0s,,,"['Purple Nights', 'November']"
mbrainz_5411,Sweetheart Contract,Magazine,1980-07,,870,,,"['Sweetheart Contract', 'Feed the Enemy (live)', 'Twenty Years Ago (live)', 'Shot by Both Sides (live)']"
mbrainz_5415,Beyond the Apocalypse,1349,04/19/2004,,47:32,,,"['Chasing Dragons', 'Beyond the Apocalypse', 'Aiwass-Aeon', 'Nekronatalenheten', 'Perished in Pain', 'Singer of Strange Songs', 'Blood Is the Mortar', 'Internal Winter', 'The Blade']"
mbrainz_5422,Trouble / Division One,Scorpio,01/01/1997,United Kingdom of Great Britain and Northern Ireland,0s,,,"['Trouble', 'Division One']"
mbrainz_5424,Happiness Is Simple,Myslovitz,19.05.2006,Poland,0:53:50,,,"['Fikcja jest modna', 'ÅšciÄ…Ä‡ wysokie drzewa', 'MieÄ‡ czy byÄ‡', 'Spacer w bokserskich rÄ™kawicach', 'Kilka uÅ›ciskÃ³w, kilka snÃ³w', 'W deszczu maleÅ„kich Å¼Ã³Å‚tych kwiatÃ³w', 'GadajÄ…ce gÅ‚owy 80-06', 'Ty i ja i wszystko co mamy', 'Nocnym pociÄ…giem aÅ¼ do koÅ„ca Å›wiata', 'KsiÄ…Å¼e Å¼ycia umiera', 'ZÅ‚e mi siÄ™ Å›ni', 'ZnÃ³w wszystko poszÅ‚o nie tak', 'Czytanka dla niegrzecznych']"
mbrainz_5434,Smart Echoes for Sensitive Ears,Audiokonstrukte,2007-11-06,,3521,,,"['Sensitive Poem', 'In Sleepy Town', 'Sensi City', 'Dusty Atmosphere', 'Neurospiderweb', 'Microtraffic', 'Soki Nyha Ten', 'Slow the Moment', 'Quiet Mood', 'Disfiction', 'Fruitcrashes', 'Karmakoma', 'Parkbench']"
mbrainz_5444,Crazy World,KiSha,,,0:52:18,,,"['Alive', 'Hello', 'One Second', 'Shame', 'Nobody Like Me', 'Crazy World', 'Sometimes', 'Read Between The Lines', 'Survivor', 'Angels', 'Trying To Control Me', 'Thank You', 'Probably', 'Anything But Love']"
mbrainz_5466,Don't Give Up,"Bride, Tina",,,0:10:11,,,"[""Don't Give Up"", ""Don't Give Up (12')"", ""Don't Give Up (instrumental)""]"
mbrainz_5470,Raising the Spirits E.P.,Access 58 feat.,19.02.2001,United Kingdom of Great Britain and Northern Ireland,0,,,"['The Story So Far', 'Popcorn', 'Innocent Soul']"
mbrainz_5479,Broken Sun EP,F5eqyent F,2007,United States of America,23:40,,,"['Leaves Falling In Reverse', 'Broken Sun', 'Psychoactive Solar Reaction', 'Skyward', 'Haze', 'Spinning In The Field']"
mbrainz_5482,The Rising,Purple Code,2007-11-26,,6:19,,,"['The Rising (original mix)', 'The Rising (deadmau5 remix)', 'The Rising (Max Graham remix)']"
mbrainz_5492,Pistols at Dawn,Cauda Pavonis,2000-01-01,United States of America,51:38,,,
mbrainz_5498,Pure Garage Classics,"EZ, DJ feat.",2003,United Kingdom of Great Britain and Northern Ireland,3634,,,"['Ez Intro 10', 'Imagine (Club Asylum remix)', 'No More Rain (Wookie vocal mix feat. Lain)', 'Champagne Dance (original mix)', ""I'm Gonna Get Through This (Human Beatbox mix)"", 'Saved My Life (original mix)', ""Why? (Matt 'Jam' Lamont & DJ Face Classic Vox mix)"", 'Re-Rewind (The Crowd Say Bo! Selecta) (original mix)', 'Fly Bi', 'Hold Me Tight (Pitch Black mix)', 'Saved Soul', 'Straight From the Heart (Bump & Flex vocal mix)', 'Scrappy', '21 Seconds (12"" version)', 'Oi!', 'My Desire (Dreem Teem remix)', ""Show Me Love (Stone's club mix)"", 'Decoy', 'Never Gonna Let You Go', 'Urban Hero', 'Messin Around', 'Coming Home', ""I Don't Smoke"", ""Movin' Too Fast"", 'Want You Back', 'I Refuse', 'Flowers', 'On Me (Mind Body & Soul)', 'Booo!', '138 Trek', 'Round the Corner', 'Anytime', 'Mindless and Broken', 'Gabriel', 'Just Turn It Up', 'Baby Boy', 'Skanked', 'I Luv U', 'This Is What I Like', 'Hold on to Me', '4 the Mind', 'Perfect Pitch', 'Things We Do', 'Dark 2003', 'All About Sex', ""Music Ain't Dead"", ""Jumpin'"", 'Ex Ex Girlfriend', ""What's the Point?"", 'Step Back']"
mbrainz_5511,The Complete Singles Collection,ABBA,1999,Germany,64:59,,,"['People Need Love', 'Ring Ring', 'Waterloo', 'Waterloo (German version)', 'Honey, Honey', 'So Long', 'I Do, I Do, I Do, I Do, I Do', 'SOS', 'Mamma Mia', 'Fernando', 'Dancing Queen', 'Money, Money, Money', 'Knowing Me, Knowing You', 'The Name of the Game', 'Take a Chance on Me', 'Eagle', 'Thank You for the Music', 'Summer Night City', 'Chiquitita', 'Does Your Mother Know', 'Voulez-Vous', 'Gimme! Gimme! Gimme! (A Man After Midnight)', 'I Have a Dream', 'The Winner Takes It All', 'Super Trouper', 'Lay All Your Love on Me', 'One of Us', 'Head Over Heels', 'The Day Before You Came', 'Under Attack', 'Ring Ring (German version)', 'Happy New Year', 'Wer im Wartesaal der Liebe steht']"
mbrainz_5525,Happiness Is Toy Shaped (album),"Shermans, The",2001,United States of America,35:25,,,"['Boy With the Bright Eyes', 'Lousy Judge of Character', 'Adulthood for Beginners', 'The Umbrella Song', 'Falling Out of Love', 'Sad Kind of Life', 'July in London', 'About You', 'Cindy Sherman', 'Explode', 'Deja Vu on Repeat', 'Catch Me', ""What Life's About"", 'The Last One']"
mbrainz_5532,A Return to the Inner Experience,Sky Cries Ma,01.01.1993,United States of America,69:52,,,
mbrainz_5567,One Step Beyondâ€¦ (Spanish),Madness,01/01/1981,United Kingdom of Great Britain and Northern Ireland,0:12:12,,,"['One Step Beyondâ€¦ (Spanish)', 'Baggy Trousers', 'Grey Day', 'Take It or Leave It']"
mbrainz_5574,Beyond the Blue,Beyond the Blue,01.01.1990,Netherlands,0:43:44,,,"['Atlantic Summer', 'More Than Ever Before', 'Here on Our Own', 'Beyond the Blue', 'Home', 'My Town', 'Intoxicated', 'Only the River Knows', 'Bleeding Heart', 'Another World', 'Romancing the Fire (instrumental)']"
mbrainz_5575,Death Beyond Sadistic Behaviour,Hindrance,,,0:39:40,,,"['Load', 'Insalobrious Surgery', 'Phobic', 'H.B.P.N.', 'Endocrinic Philosophy', 'Selective Weapons', 'Big Stench Society', 'King of the Land', 'JaurÃ\xada De Humanos', 'Tread on the Faithfull', 'Internet Burns', 'Gordas Sin Tetas', 'State']"
mbrainz_5581,A Boy Frlj Nowhede,"Jones, Tom",1987-01-01,UK,0:00:00,,,"['A Boy From Nowhere', 'Excerpts From the Musical ""Matador""', 'Dance of Death']"
mbrainz_5584,Beyond the Maze,Dreadful Shadows,1998-02-01,Germany,0:48:10,,,"['Crusade', 'Fall', 'The Figures of Disguise', 'Ties of Time', 'Craving', 'The Soil', 'The Drowning Sun', 'Desolated Home', 'Burning the Shrouds', 'Beyond the Maze', 'Chains', 'Condemnation', 'Burning the Shrouds', 'Desolated Home', 'Craving', 'Figures of Disguise', 'True Faith', 'Homeless (Cyber edit)', 'The Soil']"
mbrainz_5586,Hammering the Cramps / Spirit Ditch,Sparklehorse,01.01.1996,United Kingdom of Great Britain and Northern Ireland,372,,,"['Hammering the Cramps', 'Spirit Ditch']"
mbrainz_5594,Eidetic Visions,Xurba,2007-12-21,United Kingdom of Great Britain and Northern Ireland,28:53,,,"['X-Inertia', 'Backouter', 'X-Interstruct', 'Ennui', 'Interlock', 'Elle', 'In Darker Places', 'Xi Angelica']"
mbrainz_5609,From Beyond,Massacre,01/01/1991,,2300,,,"['Dawn of Eternity', 'Cryptic Realms', 'Biohazard', 'Chamber of Ages', 'From Beyond', 'Defeat Remains', 'Succubus', 'Symbolic Immortality', 'Corpsegrinder']"
mbrainz_5631,Broken Music,Dissecting Table,14.01.2008,United States of America,eo23,,,"['Thought Freeze', 'Cerebral Phenomenon', 'Sometimes I Want to Die, and Sometimes I Want to Live', 'Liberation of Spirits', 'Asynchronous System', 'Asynchronous System (long version)']"
mbrainz_5639,Higher Learning / Awake,Exit Calm,2008,United Kingdom of Great Britain and Northern Ireland,11:15,,,"['Higher Learning', 'Awake']"
mbrainz_5662,Let Clarity Succumb,,07/31/2006,Sweden,0:23:27,,,"['Glare as I Reveal', 'To Admit and Allow', 'Let Clarity Succumb', 'Old Wounds']"
mbrainz_5666,The Music of Erich,F0tma Tadfe,01/19/2008,,3043,,,"['Prologue', 'The Ascent', 'Out of the Spirit World', 'Across a Dark River', 'The German Viol Player', 'Antiquities', 'Litany', 'Physical but Mental', 'The Keyhole', 'The Music of Erich Zann', 'Opposing Forces', 'The Blackness of Space', 'Final Sheet']"
mbrainz_5680,Heritage and Ringtones,Martin Archer,,,1h 2m 1s,,,"['Come Sunday', 'Ringtone 1', ""It Don't Bother Me"", ""Where's Mike?"", 'Ringtone 2', 'Wishing Well', 'Angelus Vander', 'Ringtone 3', 'Ringstone', 'Ringtone 4', 'Let No Man Steal Your Time', 'That Sheffield Sound']"
mbrainz_5688,When the Music's Sober,Drugs Made Me Smarter,,,,,,"['To Be There Is in Here', 'So Far a Way to Get Lost', 'The Biology of Love', 'Back From Poptla', ""When the Music's Sober"", 'Die Sprache Der Liebe', 'Weather Alert Afternoon', 'In the Lack of Passion', 'Julieta (In Memoriam)']"
mbrainz_5700,Underdogs,Manic Street Preachers,19.03.2007,United Kingdom of Great Britain and Northern Ireland,2:49,,,['Underdogs']
mbrainz_5701,How to Save a Life,Belle Lawrence,01/01/2008,United Kingdom of Great Britain and Northern Ireland,0:24:10,,,"['How to Save a Life (Almighty 7"" Anthem mix)', 'How to Save a Life (Almighty 12"" Anthem mix)', 'How to Save a Life (Almighty Anthem dub)', 'How to Save a Life (Almighty Anthem instrumental)']"
mbrainz_5704,The Year of the Elephant (album),WaDada Leo Smith's Golden Quartet,,,3632,,,"['Al-Madinah', 'Piru', 'The Zamzam Well a Stream of a Pure Light', ""Kangaroo's Hollow"", 'The Year of the Elephant', 'Miles Star in 3 Parts: I-II) Star/Seed, III) Blue Fire']"
mbrainz_5717,Supermodels (album),Peter & the Test Tube Babies,2002,United Kingdom of Great Britain and Northern Ireland,40:51,,,"['Supermodels', 'Giving Up Drinking', 'Shake My World', 'Mr. Mortage', 'U Bore Me', 'Temptation', 'Jetsetter', 'Love Is Dead', 'Crying in the Snow', 'Dog Society', 'Chasing Shadows', 'Bad Loser', ""Let's Do Lunch"", 'Spacecake', 'Busy Doing Nothing']"
mbrainz_5730,Overgrown Town,Cross Bred Mongrels,01/01/2000,Australia,52m 13s,,,"['Clones', 'Full Effect', 'The Way It Used to Be', 'Remember This', 'Rock the Mike', 'Point to Prove', 'Know Alls', 'Halftime', 'Political Football', 'Digital Criminals', 'Overgrown Town', 'Frustration', 'Underrated', 'Two Fat Cunts', 'Shoutro']"
mbrainz_5737,Celtic Seasons of Enchantment,Will Millar,,United States of America,2879,,,"['Maghmell', 'Beltain (Spring)', 'The Coulin*', 'Mabon...Autumn Equinox', 'Fairy Child Walking', 'Samhain: The Celtic year begins', 'Lagan Enchantments*', 'The Druids Winter', 'Dalraida', 'Dance of Lughnasah']"
mbrainz_5739,Thank You for Not Discussing the Outside World (album),Audiac,2003,Germany,2725,,,"['The Zipper', ""Everybody's Sneaking, Baby"", 'Gagarin', 'What I Am Today', 'Vanity Fair', 'Melancholic Outs', 'Gone for Subway Gods', 'Beausoleil', 'Mono Hotel', 'Hey Joe/Ads']"
mbrainz_5747,Hummingbird,,2007-10,United States of America,616,,,"['Hummingbird', 'Kurt Vonnegut', 'Knife (live)']"
mbrainz_5751,Love and Devotion,Real McCoy,199i-91-02,Germany,3762,,,"['Space Invaders (The Opening)', 'Automatic Lover (Call for Love)', 'Run Away', '24 Hours', 'Love & Devotion', 'Another Night', 'I Want You', 'Operator', 'Streetfighter', 'Out of Control', 'Je Suis Amoureux...', 'How Deep Is Your Love?', 'Another Night (U.S. House mix)', 'Megablast', 'Space Invaders (The Last Crusade)']"
mbrainz_5760,Love Deluxe,Sade,01/01/2010,,45:41,,,
mbrainz_5764,Broken Nose,Cathcrine Wbeel,,United Arab Emirates,24:37,,,"['Broken Nose (single version)', 'Crank (live)', 'Texture (live)', 'Black Metallic (live)', 'Broken Nose (live)', 'Flower to Hide (live)', 'Heal (live)', 'I Want to Touch You (live)']"
mbrainz_5766,One of Our Submarines,"Dolby, Thomas",28.10.2002,6crmany,3861,,,"['One of Our Submarines (Salz remix)', 'One of Our Submarines (live mix)', 'One of Our Submarines (Hardfloor remix)', 'One of Our Submarines (Paul Sebastien remix)', 'One of Our Submarines (Ricardo Villalobos remix)', 'One of Our Submarines (Threshold Project and Jan Kha Alphamix)', 'One of Our Submarines (Salz Dubmix)', 'One of Our Submarines (Akufen remix)']"
mbrainz_5772,DayDream,Obscenity Trial,01/01/2007,Germany,19m 58s,,,"['Daydream', 'Desire', '7:30', 'Daydream (Naghavi Mix)', 'Daydream (Spetsnaz Remix)']"
